iter	Passed	Remaining
0	56	56656
1	57	28452
2	57	19047
3	57	14343
4	57	11522
5	58	9640
6	58	8296
7	58	7288
8	59	6504
9	59	5876
10	59	5363
11	59	4939
12	60	4577
13	60	4267
14	60	3998
15	61	3762
16	61	3554
17	61	3369
18	62	3203
19	62	3054
20	62	2919
21	62	2796
22	63	2684
23	63	2582
24	63	2487
25	64	2400
26	64	2319
27	64	2243
28	72	2431
29	77	2500
30	77	2426
31	77	2357
32	78	2292
33	78	2231
34	78	2172
35	79	2118
36	79	2066
37	79	2017
38	79	1970
39	80	1926
40	80	1884
41	80	1844
42	81	1805
43	81	1769
44	81	1734
45	82	1701
46	82	1669
47	82	1639
48	82	1610
49	83	1582
50	83	1555
51	83	1529
52	84	1504
53	84	1480
54	84	1457
55	85	1435
56	85	1413
57	85	1392
58	86	1371
59	86	1352
60	86	1333
61	86	1314
62	87	1297
63	87	1279
64	87	1262
65	88	1246
66	88	1230
67	88	1215
68	88	1200
69	89	1185
70	89	1171
71	89	1157
72	90	1144
73	90	1131
74	90	1118
75	90	1106
76	91	1094
77	91	1082
78	91	1071
79	92	1059
80	92	1048
81	92	1038
82	92	1025
83	93	1015
84	93	1005
85	93	995
86	93	986
87	94	976
88	94	967
89	94	958
90	95	950
91	95	941
92	95	933
93	95	924
94	96	916
95	96	909
96	96	901
97	97	894
98	97	886
99	97	879
100	97	872
101	98	865
102	98	858
103	98	852
104	99	845
105	99	838
106	99	832
107	99	825
108	100	818
109	100	812
110	100	806
111	101	801
112	101	795
113	101	789
114	101	783
115	102	778
116	102	772
117	102	766
118	102	761
119	103	756
120	103	751
121	103	745
122	103	740
123	104	735
124	104	731
125	104	726
126	104	721
127	105	716
128	105	713
129	105	708
130	106	704
131	106	700
132	106	695
133	107	691
134	107	687
135	107	683
136	107	679
137	108	675
138	108	671
139	108	668
140	109	664
141	109	659
142	109	655
143	109	652
144	110	648
145	110	645
146	110	641
147	110	637
148	111	634
149	111	631
150	111	627
151	111	624
152	112	621
153	112	617
154	112	614
155	113	611
156	113	608
157	113	605
158	113	602
159	114	599
160	114	595
161	114	592
162	114	590
163	115	587
164	115	584
165	115	581
166	116	578
167	116	576
168	116	573
169	116	570
170	117	568
171	117	565
172	117	563
173	118	561
174	118	558
175	118	556
176	119	553
177	119	551
178	119	548
179	119	546
180	120	544
181	120	541
182	120	539
183	131	581
184	131	578
185	131	575
186	131	573
187	132	570
188	132	567
189	132	565
190	132	563
191	133	560
192	133	558
193	133	555
194	134	553
195	134	551
196	134	548
197	134	546
198	135	544
199	135	542
200	135	540
201	136	537
202	136	535
203	136	533
204	137	531
205	137	530
206	137	528
207	138	526
208	138	524
209	138	522
210	139	520
211	139	518
212	139	517
213	140	515
214	140	513
215	151	548
216	151	546
217	151	544
218	152	543
219	152	541
220	153	539
221	153	537
222	153	536
223	154	534
224	154	532
225	154	530
226	155	528
227	155	527
228	156	525
229	156	523
230	156	521
231	157	520
232	157	518
233	157	516
234	158	514
235	158	513
236	158	511
237	159	509
238	159	507
239	159	505
240	163	513
241	163	511
242	163	509
243	163	507
244	164	505
245	164	503
246	164	502
247	164	500
248	165	498
249	165	496
250	167	498
251	168	498
252	168	497
253	168	495
254	171	500
255	171	499
256	172	497
257	172	495
258	172	493
259	172	492
260	173	490
261	173	488
262	173	487
263	174	485
264	174	483
265	174	481
266	174	480
267	175	478
268	175	476
269	176	475
270	176	474
271	176	472
272	176	471
273	177	469
274	177	469
275	181	474
276	181	473
277	181	471
278	181	470
279	182	468
280	182	467
281	182	465
282	183	464
283	183	462
284	183	461
285	184	459
286	184	457
287	185	457
288	185	456
289	185	454
290	186	453
291	186	451
292	187	451
293	187	450
294	188	449
295	188	448
296	188	446
297	189	445
298	189	443
299	189	442
300	190	442
301	190	441
302	191	439
303	191	439
304	192	438
305	192	437
306	192	435
307	193	434
308	193	432
309	193	431
310	194	430
311	194	428
312	194	427
313	194	425
